id,property_type,state,region,lat,lon,area_m2,price_brl,city
215,apartment,Pernambuco,Northeast,-8.0334139,-34.9089276,,628820.41,Recife
216,apartment,Pernambuco,Northeast,-8.0418977,-34.9456721,93.0,299438.28,Recife
217,apartment,Pernambuco,Northeast,-8.086438,-34.89069,87.0,299438.28,Recife
218,apartment,Pernambuco,Northeast,-8.116624,-34.899124,,538988.95,Recife
219,apartment,Pernambuco,Northeast,-8.027162,-34.913445,,319400.84,Recife
220,apartment,Pernambuco,Northeast,-8.044757,-34.89185,110.0,339363.39,Recife
221,apartment,Pernambuco,Northeast,-8.044204,-34.891396,147.0,848408.53,Recife
222,apartment,Pernambuco,Northeast,-8.048158,-34.910992,,369307.22,Recife
223,apartment,Pernambuco,Northeast,-8.02765,-34.920338,104.0,638801.71,Recife
224,apartment,Pernambuco,Northeast,-8.046015,-34.910507,86.0,529007.65,Recife
225,apartment,Pernambuco,Northeast,-8.049665,-34.931366,62.0,357931.56,Recife
226,apartment,Pernambuco,Northeast,-8.044542,-34.894829,143.0,918277.46,Recife
227,apartment,Pernambuco,Northeast,-8.0407538,-34.888156,60.0,424204.24,Recife
228,apartment,Pernambuco,Northeast,-8.02765,-34.920338,94.0,538988.95,Recife
229,apartment,Pernambuco,Northeast,-8.126271,-34.903793,176.0,878352.35,Recife
230,apartment,Pernambuco,Northeast,-8.215346,-34.927231,103.0,469120.01,Jaboatão dos Guararapes
231,apartment,Pernambuco,Northeast,-8.143694,-34.906676,,1367434.92,Recife
232,apartment,Pernambuco,Northeast,-8.035595,-34.921719,106.0,648782.97,Recife
233,apartment,Pernambuco,Northeast,-8.115533,-34.896854,117.0,519026.39,Recife
234,apartment,Pernambuco,Northeast,-8.113256,-34.897057,55.0,449157.45,Recife
235,apartment,Pernambuco,Northeast,-8.0576539,-34.8965881,120.0,299438.28,Recife
236,apartment,Pernambuco,Northeast,-8.034929,-34.892761,125.0,788520.85,Recife
237,apartment,Pernambuco,Northeast,-8.034929,-34.892761,115.0,828445.97,Recife
238,apartment,Pernambuco,Northeast,-8.040035,-34.899654,68.0,309419.57,Recife
239,apartment,Pernambuco,Northeast,-8.034929,-34.892761,125.0,819240.24,Recife
240,apartment,Pernambuco,Northeast,-8.047979,-34.908512,82.0,479101.27,Recife
241,apartment,Pernambuco,Northeast,-8.035284,-34.903919,148.0,768558.29,Recife
242,apartment,Pernambuco,Northeast,-8.02765,-34.920338,57.0,378290.39,Recife
243,apartment,Pernambuco,Northeast,-8.034104,-34.89806,113.0,648782.97,Recife
244,apartment,Pernambuco,Northeast,-8.047052,-34.874832,80.0,479101.27,Recife
245,apartment,Pernambuco,Northeast,-8.029394,-34.922832,85.0,548970.21,Recife
246,apartment,Pernambuco,Northeast,-8.0380508,-34.8950597,,429194.89,Recife
247,apartment,Pernambuco,Northeast,-8.02765,-34.920338,96.0,578914.03,Recife
248,apartment,Pernambuco,Northeast,-8.125979,-34.903142,,499063.83,Recife
249,apartment,Pernambuco,Northeast,-8.1413429,-34.907283,,529007.65,Recife
250,apartment,Pernambuco,Northeast,-8.1311923,-34.905777,82.0,359325.95,Recife
251,apartment,Pernambuco,Northeast,-8.1280955,-34.906856,98.0,449157.45,Recife
252,apartment,Pernambuco,Northeast,-8.1161578,-34.893642,,678726.79,Recife
253,apartment,Pernambuco,Northeast,-8.1376548,-34.905588,68.0,369307.22,Recife
254,apartment,Pernambuco,Northeast,-8.125862,-34.904531,83.0,399251.07,Recife
255,apartment,Pernambuco,Northeast,-8.0927682,-34.884335,79.0,399251.07,Recife
256,apartment,Pernambuco,Northeast,-8.1239701,-34.905836,80.0,419213.6,Recife
257,apartment,Pernambuco,Northeast,-8.0565882,-34.8781384,176.0,1161034.64,Recife
258,apartment,Pernambuco,Northeast,-8.1132697,-34.896273,136.0,474110.62,Recife
259,apartment,Pernambuco,Northeast,-8.1413642,-34.9263512,92.0,757196.48,Jaboatão dos Guararapes
260,apartment,Pernambuco,Northeast,-8.1306902,-34.9098391,65.0,302878.6,Recife
261,apartment,Pernambuco,Northeast,-8.206632,-34.921719,189.0,688708.09,Jaboatão dos Guararapes
262,apartment,Pernambuco,Northeast,-8.056418,-34.909309,112.0,728633.21,Recife
263,apartment,Pernambuco,Northeast,-8.02765,-34.920338,87.0,424204.24,Recife
264,apartment,Pernambuco,Northeast,-8.0383055,-34.9146682,,1048034.05,Recife
265,apartment,Pernambuco,Northeast,-8.035134,-34.893791,86.0,529007.65,Recife
266,apartment,Pernambuco,Northeast,-8.027162,-34.913445,79.0,449157.45,Recife
267,apartment,Pernambuco,Northeast,-8.030991,-34.880032,55.0,265965.09,Recife
268,apartment,Pernambuco,Northeast,-8.043853,-34.907928,203.0,1347472.36,Recife
269,apartment,Pernambuco,Northeast,-8.0369,-34.884521,64.0,339363.39,Recife
270,apartment,Pernambuco,Northeast,-8.02765,-34.920338,67.0,339363.39,Recife
271,apartment,Pernambuco,Northeast,-8.032006,-34.89827,175.0,998127.67,Recife
272,apartment,Pernambuco,Northeast,-8.02765,-34.920338,65.0,404241.69,Recife
273,apartment,Pernambuco,Northeast,-8.032974,-34.924965,189.0,1397378.74,Recife
274,apartment,Pernambuco,Northeast,-8.032375,-34.906925,226.0,1247659.6,Recife
275,apartment,Pernambuco,Northeast,-8.044757,-34.89185,179.0,658764.27,Recife
276,house,Pernambuco,Northeast,-8.46275,-35.082859,209.0,1593547.76,Ipojuca
277,apartment,Pernambuco,Northeast,-8.035595,-34.921719,155.0,923268.08,Recife
278,apartment,Pernambuco,Northeast,-8.040437,-34.883881,55.0,399251.07,Recife
279,apartment,Pernambuco,Northeast,-8.034929,-34.892761,86.0,628820.41,Recife
280,apartment,Pernambuco,Northeast,-8.040437,-34.883881,56.0,399251.07,Recife
281,apartment,Pernambuco,Northeast,-8.040437,-34.883881,56.0,399251.07,Recife
282,apartment,Pernambuco,Northeast,-8.044204,-34.891396,105.0,698689.35,Recife
283,apartment,Pernambuco,Northeast,-8.0352674,-34.915894,235.0,1147846.81,Recife
284,apartment,Pernambuco,Northeast,-8.0395221,-34.9073309,71.0,379288.51,Recife
285,apartment,Pernambuco,Northeast,-8.113256,-34.897057,55.0,444166.8,Recife
286,apartment,Pernambuco,Northeast,-8.1238,-34.90247,135.0,648782.97,Recife
287,apartment,Pernambuco,Northeast,-8.103477,-34.888622,85.0,1048034.05,Recife
288,apartment,Pernambuco,Northeast,-8.021971,-34.931366,140.0,828445.97,Recife
289,apartment,Pernambuco,Northeast,-8.1395373,-34.909275,85.0,359325.95,Recife
290,apartment,Pernambuco,Northeast,-8.112362,-34.895853,183.0,1147846.81,Recife
291,apartment,Pernambuco,Northeast,-8.183698,-34.931366,,239550.63,Jaboatão dos Guararapes
292,apartment,Pernambuco,Northeast,-8.1398641,-34.908659,166.0,618839.15,Recife
293,apartment,Pernambuco,Northeast,-8.1376548,-34.905588,66.0,369307.22,Recife
294,apartment,Pernambuco,Northeast,-8.1237621,-34.903048,,489082.54,Recife
295,apartment,Pernambuco,Northeast,-8.128416,-34.903417,82.0,494073.18,Recife
296,apartment,Pernambuco,Northeast,-8.126271,-34.903793,107.0,898314.91,Recife
297,apartment,Pernambuco,Northeast,-8.149876,-34.910686,153.0,1097940.43,Recife
298,apartment,Pernambuco,Northeast,-8.034344,-34.896725,87.0,548970.21,Recife
299,apartment,Pernambuco,Northeast,-8.1149776,-34.89895,120.0,384279.13,Recife
300,apartment,Pernambuco,Northeast,-8.125896,-34.900967,,264503.81,Recife
301,apartment,Pernambuco,Northeast,-8.1299858,-34.903518,98.0,519026.39,Recife
302,apartment,Pernambuco,Northeast,-8.1221009,-34.905421,66.0,394260.42,Recife
303,apartment,Pernambuco,Northeast,-8.1250952,-34.902995,134.0,643792.32,Recife
304,apartment,Pernambuco,Northeast,-8.1389668,-34.906056,,359325.95,Recife
305,apartment,Pernambuco,Northeast,-8.109666,-34.894753,,778539.59,Recife
306,apartment,Pernambuco,Northeast,-8.126271,-34.903793,132.0,698689.35,Recife
307,house,Pernambuco,Northeast,-8.1603708,-34.9162064,230.0,648782.97,Jaboatão dos Guararapes
308,apartment,Pernambuco,Northeast,-8.111414,-34.894337,158.0,1197753.22,Recife
309,apartment,Pernambuco,Northeast,-8.113888,-34.892437,185.0,848408.53,Recife
310,apartment,Pernambuco,Northeast,-8.1421704,-34.907805,108.0,648782.97,Recife
311,apartment,Pernambuco,Northeast,-8.110801,-34.895542,162.0,1058318.76,Recife
312,apartment,Pernambuco,Northeast,-8.152399,-34.920338,,546384.05,Jaboatão dos Guararapes
313,apartment,Pernambuco,Northeast,-8.040233,-34.898281,74.0,259513.19,Recife
314,house,Pernambuco,Northeast,-8.1951499,-35.563776,215.0,374297.86,Gravatá
315,apartment,Pernambuco,Northeast,-8.101428,-34.885632,128.0,1197753.22,Recife
316,apartment,Pernambuco,Northeast,-8.089291,-34.903793,170.0,1247659.6,Recife
317,house,Pernambuco,Northeast,-8.1951499,-35.563776,168.0,673736.18,Gravatá
